P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.3347,0.3408,0.3245,1,1.001,999999,0,0,0,0,0,0.001,10000,500
0.3275,0.3359,0.3366,1,1.001,999999,0,0,0,0,0,0.01,10000,500
0.3364,0.3301,0.3335,1,1.001,999999,0,0,0,0,0,0.05,10000,500
0.332,0.3303,0.3377,1,1.001,999999,0,0,0,0,0,0.1,10000,500
0.3422,0.3265,0.3313,1,1.001,999999,0,0,0,0,0,0.2,10000,500
0.3292,0.3301,0.3407,1,1.001,999999,0,0,0,5,0,0.001,10000,500
0.3272,0.3354,0.3374,1,1.001,999999,0,0,0,5,0,0.01,10000,500
0.3432,0.3258,0.331,1,1.001,999999,0,0,0,5,0,0.05,10000,500
0.3294,0.335,0.3356,1,1.001,999999,0,0,0,5,0,0.1,10000,500
0.3271,0.3407,0.3322,1,1.001,999999,0,0,0,5,0,0.2,10000,500
0.3291,0.3336,0.3373,1,1.001,999999,0,0,0,10,0,0.001,10000,500
0.3324,0.3304,0.3372,1,1.001,999999,0,0,0,10,0,0.01,10000,500
0.334,0.3318,0.3342,1,1.001,999999,0,0,0,10,0,0.05,10000,500
0.3438,0.3268,0.3294,1,1.001,999999,0,0,0,10,0,0.1,10000,500
0.3365,0.3335,0.33,1,1.001,999999,0,0,0,10,0,0.2,10000,500
0.314,0.3098,0.3762,1,1.001,999999,5,0,0,0,0,0.001,10000,500
0.3087,0.3138,0.3775,1,1.001,999999,5,0,0,0,0,0.01,10000,500
0.3192,0.3112,0.3696,1,1.001,999999,5,0,0,0,0,0.05,10000,500
0.3118,0.3226,0.3656,1,1.001,999999,5,0,0,0,0,0.1,10000,500
0.3196,0.3177,0.3627,1,1.001,999999,5,0,0,0,0,0.2,10000,500
0.3097,0.3119,0.3784,1,1.001,999999,5,0,0,5,0,0.001,10000,500
0.3061,0.3114,0.3825,1,1.001,999999,5,0,0,5,0,0.01,10000,500
0.3165,0.3112,0.3723,1,1.001,999999,5,0,0,5,0,0.05,10000,500
0.3124,0.3217,0.3659,1,1.001,999999,5,0,0,5,0,0.1,10000,500
0.3231,0.3205,0.3564,1,1.001,999999,5,0,0,5,0,0.2,10000,500
0.3221,0.3119,0.366,1,1.001,999999,5,0,0,10,0,0.001,10000,500
0.3081,0.3151,0.3768,1,1.001,999999,5,0,0,10,0,0.01,10000,500
0.312,0.3181,0.3699,1,1.001,999999,5,0,0,10,0,0.05,10000,500
0.319,0.3164,0.3646,1,1.001,999999,5,0,0,10,0,0.1,10000,500
0.3271,0.313,0.3599,1,1.001,999999,5,0,0,10,0,0.2,10000,500
0.3011,0.3074,0.3915,1,1.001,999999,10,0,0,0,0,0.001,10000,500
0.3088,0.3059,0.3853,1,1.001,999999,10,0,0,0,0,0.01,10000,500
0.3035,0.3027,0.3938,1,1.001,999999,10,0,0,0,0,0.05,10000,500
0.3095,0.3016,0.3889,1,1.001,999999,10,0,0,0,0,0.1,10000,500
0.3131,0.305,0.3819,1,1.001,999999,10,0,0,0,0,0.2,10000,500
0.3046,0.3041,0.3913,1,1.001,999999,10,0,0,5,0,0.001,10000,500
0.3046,0.3045,0.3909,1,1.001,999999,10,0,0,5,0,0.01,10000,500
0.3,0.3042,0.3958,1,1.001,999999,10,0,0,5,0,0.05,10000,500
0.3106,0.307,0.3824,1,1.001,999999,10,0,0,5,0,0.1,10000,500
0.309,0.3119,0.3791,1,1.001,999999,10,0,0,5,0,0.2,10000,500
0.2955,0.3028,0.4017,1,1.001,999999,10,0,0,10,0,0.001,10000,500
0.3048,0.3018,0.3934,1,1.001,999999,10,0,0,10,0,0.01,10000,500
0.3128,0.3045,0.3827,1,1.001,999999,10,0,0,10,0,0.05,10000,500
0.307,0.3115,0.3815,1,1.001,999999,10,0,0,10,0,0.1,10000,500
0.3215,0.3015,0.377,1,1.001,999999,10,0,0,10,0,0.2,10000,500
0.3389,0.3285,0.3326,1,1.01,999999,0,0,0,0,0,0.001,10000,500
0.3378,0.3328,0.3294,1,1.01,999999,0,0,0,0,0,0.01,10000,500
0.341,0.3329,0.3261,1,1.01,999999,0,0,0,0,0,0.05,10000,500
0.3447,0.3294,0.3259,1,1.01,999999,0,0,0,0,0,0.1,10000,500
0.3425,0.3252,0.3323,1,1.01,999999,0,0,0,0,0,0.2,10000,500
0.3392,0.3264,0.3344,1,1.01,999999,0,0,0,5,0,0.001,10000,500
0.3362,0.3359,0.3279,1,1.01,999999,0,0,0,5,0,0.01,10000,500
0.3435,0.3211,0.3354,1,1.01,999999,0,0,0,5,0,0.05,10000,500
0.3367,0.3313,0.332,1,1.01,999999,0,0,0,5,0,0.1,10000,500
0.3395,0.3263,0.3342,1,1.01,999999,0,0,0,5,0,0.2,10000,500
0.3362,0.3273,0.3365,1,1.01,999999,0,0,0,10,0,0.001,10000,500
0.3357,0.3354,0.3289,1,1.01,999999,0,0,0,10,0,0.01,10000,500
0.3287,0.3341,0.3372,1,1.01,999999,0,0,0,10,0,0.05,10000,500
0.3403,0.3337,0.326,1,1.01,999999,0,0,0,10,0,0.1,10000,500
0.3373,0.3217,0.341,1,1.01,999999,0,0,0,10,0,0.2,10000,500
0.3155,0.3071,0.3774,1,1.01,999999,5,0,0,0,0,0.001,10000,500
0.3237,0.3092,0.3671,1,1.01,999999,5,0,0,0,0,0.01,10000,500
0.3222,0.3085,0.3693,1,1.01,999999,5,0,0,0,0,0.05,10000,500
0.3131,0.3156,0.3713,1,1.01,999999,5,0,0,0,0,0.1,10000,500
0.3315,0.3135,0.355,1,1.01,999999,5,0,0,0,0,0.2,10000,500
0.3175,0.3117,0.3708,1,1.01,999999,5,0,0,5,0,0.001,10000,500
0.3193,0.3146,0.3661,1,1.01,999999,5,0,0,5,0,0.01,10000,500
0.3244,0.3111,0.3645,1,1.01,999999,5,0,0,5,0,0.05,10000,500
0.3186,0.3122,0.3692,1,1.01,999999,5,0,0,5,0,0.1,10000,500
0.3249,0.3069,0.3682,1,1.01,999999,5,0,0,5,0,0.2,10000,500
0.3158,0.3136,0.3706,1,1.01,999999,5,0,0,10,0,0.001,10000,500
0.3193,0.3127,0.368,1,1.01,999999,5,0,0,10,0,0.01,10000,500
0.3129,0.3074,0.3797,1,1.01,999999,5,0,0,10,0,0.05,10000,500
0.3201,0.3176,0.3623,1,1.01,999999,5,0,0,10,0,0.1,10000,500
0.3266,0.3163,0.3571,1,1.01,999999,5,0,0,10,0,0.2,10000,500
0.3154,0.2941,0.3905,1,1.01,999999,10,0,0,0,0,0.001,10000,500
0.3119,0.2952,0.3929,1,1.01,999999,10,0,0,0,0,0.01,10000,500
0.3181,0.2957,0.3862,1,1.01,999999,10,0,0,0,0,0.05,10000,500
0.3148,0.3012,0.384,1,1.01,999999,10,0,0,0,0,0.1,10000,500
0.3134,0.3126,0.374,1,1.01,999999,10,0,0,0,0,0.2,10000,500
0.3065,0.2951,0.3984,1,1.01,999999,10,0,0,5,0,0.001,10000,500
0.3064,0.2972,0.3964,1,1.01,999999,10,0,0,5,0,0.01,10000,500
0.3134,0.3016,0.385,1,1.01,999999,10,0,0,5,0,0.05,10000,500
0.3107,0.3063,0.383,1,1.01,999999,10,0,0,5,0,0.1,10000,500
0.3171,0.2974,0.3855,1,1.01,999999,10,0,0,5,0,0.2,10000,500
0.3022,0.3044,0.3934,1,1.01,999999,10,0,0,10,0,0.001,10000,500
0.3123,0.2937,0.394,1,1.01,999999,10,0,0,10,0,0.01,10000,500
0.3095,0.3015,0.389,1,1.01,999999,10,0,0,10,0,0.05,10000,500
0.3186,0.3046,0.3768,1,1.01,999999,10,0,0,10,0,0.1,10000,500
0.3041,0.3121,0.3838,1,1.01,999999,10,0,0,10,0,0.2,10000,500
0.3991,0.2944,0.3065,1,1.1,999999,0,0,0,0,0,0.001,10000,500
0.4007,0.3059,0.2934,1,1.1,999999,0,0,0,0,0,0.01,10000,500
0.3954,0.3031,0.3015,1,1.1,999999,0,0,0,0,0,0.05,10000,500
0.3959,0.3017,0.3024,1,1.1,999999,0,0,0,0,0,0.1,10000,500
0.3932,0.3077,0.2991,1,1.1,999999,0,0,0,0,0,0.2,10000,500
0.3899,0.3014,0.3087,1,1.1,999999,0,0,0,5,0,0.001,10000,500
0.3894,0.3061,0.3045,1,1.1,999999,0,0,0,5,0,0.01,10000,500
0.3913,0.3006,0.3081,1,1.1,999999,0,0,0,5,0,0.05,10000,500
0.3901,0.3077,0.3022,1,1.1,999999,0,0,0,5,0,0.1,10000,500
0.3904,0.3072,0.3024,1,1.1,999999,0,0,0,5,0,0.2,10000,500
0.3917,0.3068,0.3015,1,1.1,999999,0,0,0,10,0,0.001,10000,500
0.3873,0.3069,0.3058,1,1.1,999999,0,0,0,10,0,0.01,10000,500
