P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.33903334,0.32598335,0.33498332,1,1.01,999999,0,0,0,0,0,0.1,10000,500
0.33893332,0.33528334,0.32578334,1,1.01,999999,0,0,0,0,0,0.01,10000,500
0.32781667,0.32711667,0.34506667,1,1.01,999999,1,0,0,0,0,0.1,10000,500
0.32578334,0.33238333,0.34183332,1,1.01,999999,1,0,0,0,0,0.01,10000,500
0.33478335,0.31633332,0.34888333,1,1.01,999999,2,0,0,0,0,0.1,10000,500
0.33358333,0.32338333,0.34303334,1,1.01,999999,2,0,0,0,0,0.01,10000,500
0.33026665,0.31966665,0.35006666,1,1.01,999999,3,0,0,0,0,0.1,10000,500
0.33425,0.321,0.34475,1,1.01,999999,3,0,0,0,0,0.01,10000,500
0.32341668,0.32081667,0.35576665,1,1.01,999999,4,0,0,0,0,0.1,10000,500
0.32928333,0.32983333,0.34088334,1,1.01,999999,4,0,0,0,0,0.01,10000,500
0.31413335,0.32268333,0.36318332,1,1.01,999999,5,0,0,0,0,0.1,10000,500
0.33113334,0.31388333,0.35498333,1,1.01,999999,5,0,0,0,0,0.01,10000,500
0.3207,0.31175,0.36755,1,1.01,999999,6,0,0,0,0,0.1,10000,500
0.32083333,0.32183334,0.35733333,1,1.01,999999,6,0,0,0,0,0.01,10000,500
0.3213,0.30385,0.37485,1,1.01,999999,7,0,0,0,0,0.1,10000,500
0.328,0.3182,0.3538,1,1.01,999999,7,0,0,0,0,0.01,10000,500
0.3192,0.31355,0.36725,1,1.01,999999,8,0,0,0,0,0.1,10000,500
0.32321668,0.31186667,0.36491665,1,1.01,999999,8,0,0,0,0,0.01,10000,500
0.31858334,0.29958335,0.38183334,1,1.01,999999,9,0,0,0,0,0.1,10000,500
0.31485,0.31465,0.3705,1,1.01,999999,9,0,0,0,0,0.01,10000,500
0.31315,0.3058,0.38105,1,1.01,999999,10,0,0,0,0,0.1,10000,500
0.31888333,0.31503335,0.36608332,1,1.01,999999,10,0,0,0,0,0.01,10000,500
0.31708333,0.30773333,0.37518334,1,1.01,999999,11,0,0,0,0,0.1,10000,500
