P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.339,0.3349,0.3261,1,1.01,999999,0,0,0,0,0,0.1,10000,500
0.3358,0.3366,0.3276,1,1.01,999999,0,0,0,0,0,0.01,10000,500
0.3421,0.3274,0.3305,1,1.01,999999,1,0,0,0,0,0.1,10000,500
0.3382,0.3284,0.3334,1,1.01,999999,1,0,0,0,0,0.01,10000,500
0.331,0.3245,0.3445,1,1.01,999999,2,0,0,0,0,0.1,10000,500
0.3328,0.3189,0.3483,1,1.01,999999,2,0,0,0,0,0.01,10000,500
0.3309,0.313,0.3561,1,1.01,999999,3,0,0,0,0,0.1,10000,500
0.3238,0.3182,0.358,1,1.01,999999,3,0,0,0,0,0.01,10000,500
0.321,0.314,0.365,1,1.01,999999,4,0,0,0,0,0.1,10000,500
0.32,0.3122,0.3678,1,1.01,999999,4,0,0,0,0,0.01,10000,500
0.3277,0.3077,0.3646,1,1.01,999999,5,0,0,0,0,0.1,10000,500
0.3168,0.313,0.3702,1,1.01,999999,5,0,0,0,0,0.01,10000,500
0.3193,0.3093,0.3714,1,1.01,999999,6,0,0,0,0,0.1,10000,500
0.313,0.309,0.378,1,1.01,999999,6,0,0,0,0,0.01,10000,500
0.3161,0.3083,0.3756,1,1.01,999999,7,0,0,0,0,0.1,10000,500
0.3255,0.2946,0.3799,1,1.01,999999,7,0,0,0,0,0.01,10000,500
0.3218,0.2966,0.3816,1,1.01,999999,8,0,0,0,0,0.1,10000,500
0.3228,0.2971,0.3801,1,1.01,999999,8,0,0,0,0,0.01,10000,500
0.3114,0.3053,0.3833,1,1.01,999999,9,0,0,0,0,0.1,10000,500
0.3134,0.3036,0.383,1,1.01,999999,9,0,0,0,0,0.01,10000,500
0.323,0.304,0.373,1,1.01,999999,10,0,0,0,0,0.1,10000,500
0.3055,0.307,0.3875,1,1.01,999999,10,0,0,0,0,0.01,10000,500
0.3163,0.3085,0.3752,1,1.01,999999,11,0,0,0,0,0.1,10000,500
0.3101,0.2936,0.3963,1,1.01,999999,11,0,0,0,0,0.01,10000,500
0.3111,0.2959,0.393,1,1.01,999999,12,0,0,0,0,0.1,10000,500
0.3111,0.2952,0.3937,1,1.01,999999,12,0,0,0,0,0.01,10000,500
0.3029,0.3021,0.395,1,1.01,999999,13,0,0,0,0,0.1,10000,500
0.31,0.2859,0.4041,1,1.01,999999,13,0,0,0,0,0.01,10000,500
0.3123,0.296,0.3917,1,1.01,999999,14,0,0,0,0,0.1,10000,500
0.3014,0.3014,0.3972,1,1.01,999999,14,0,0,0,0,0.01,10000,500
0.3039,0.2929,0.4032,1,1.01,999999,15,0,0,0,0,0.1,10000,500
0.3097,0.287,0.4033,1,1.01,999999,15,0,0,0,0,0.01,10000,500
0.3115,0.2968,0.3917,1,1.01,999999,16,0,0,0,0,0.1,10000,500
0.297,0.2946,0.4084,1,1.01,999999,16,0,0,0,0,0.01,10000,500
0.3073,0.2894,0.4033,1,1.01,999999,17,0,0,0,0,0.1,10000,500
0.3039,0.2892,0.4069,1,1.01,999999,17,0,0,0,0,0.01,10000,500
0.312,0.2921,0.3959,1,1.01,999999,18,0,0,0,0,0.1,10000,500
0.2999,0.2884,0.4117,1,1.01,999999,18,0,0,0,0,0.01,10000,500
0.2992,0.2903,0.4105,1,1.01,999999,19,0,0,0,0,0.1,10000,500
0.298,0.2917,0.4103,1,1.01,999999,19,0,0,0,0,0.01,10000,500
0.3023,0.2934,0.4043,1,1.01,999999,20,0,0,0,0,0.1,10000,500
0.2951,0.2886,0.4163,1,1.01,999999,20,0,0,0,0,0.01,10000,500
0.3459,0.318,0.3361,1,1.02,999999,0,0,0,0,0,0.1,10000,500
0.3468,0.335,0.3182,1,1.02,999999,0,0,0,0,0,0.01,10000,500
0.3443,0.322,0.3337,1,1.02,999999,1,0,0,0,0,0.1,10000,500
0.3374,0.3174,0.3452,1,1.02,999999,1,0,0,0,0,0.01,10000,500
0.3434,0.3166,0.34,1,1.02,999999,2,0,0,0,0,0.1,10000,500
0.34,0.3169,0.3431,1,1.02,999999,2,0,0,0,0,0.01,10000,500
0.3462,0.3131,0.3407,1,1.02,999999,3,0,0,0,0,0.1,10000,500
0.3322,0.3116,0.3562,1,1.02,999999,3,0,0,0,0,0.01,10000,500
0.3269,0.3126,0.3605,1,1.02,999999,4,0,0,0,0,0.1,10000,500
0.3277,0.3076,0.3647,1,1.02,999999,4,0,0,0,0,0.01,10000,500
0.3235,0.318,0.3585,1,1.02,999999,5,0,0,0,0,0.1,10000,500
0.3237,0.3077,0.3686,1,1.02,999999,5,0,0,0,0,0.01,10000,500
0.3239,0.3095,0.3666,1,1.02,999999,6,0,0,0,0,0.1,10000,500
0.3248,0.3009,0.3743,1,1.02,999999,6,0,0,0,0,0.01,10000,500
0.3224,0.3061,0.3715,1,1.02,999999,7,0,0,0,0,0.1,10000,500
0.324,0.3046,0.3714,1,1.02,999999,7,0,0,0,0,0.01,10000,500
0.3274,0.2984,0.3742,1,1.02,999999,8,0,0,0,0,0.1,10000,500
0.3231,0.295,0.3819,1,1.02,999999,8,0,0,0,0,0.01,10000,500
0.3225,0.3025,0.375,1,1.02,999999,9,0,0,0,0,0.1,10000,500
0.3283,0.2974,0.3743,1,1.02,999999,9,0,0,0,0,0.01,10000,500
0.329,0.2939,0.3771,1,1.02,999999,10,0,0,0,0,0.1,10000,500
0.3115,0.3025,0.386,1,1.02,999999,10,0,0,0,0,0.01,10000,500
0.323,0.2953,0.3817,1,1.02,999999,11,0,0,0,0,0.1,10000,500
