P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.34118888,0.3283889,0.33042222,0.1,0.11,999999,0,0,0,0,0,0.1,15000,500
0.33624443,0.3312778,0.33247778,0.1,0.11,999999,1,0,0,0,0,0.1,15000,500
0.3331,0.3246,0.3423,0.1,0.11,999999,2,0,0,0,0,0.1,15000,500
0.3321,0.33006668,0.33783334,0.1,0.11,999999,3,0,0,0,0,0.1,15000,500
0.34201112,0.32434446,0.33364445,0.1,0.11,999999,4,0,0,0,0,0.1,15000,500
0.3388111,0.32364446,0.33754444,0.1,0.11,999999,5,0,0,0,0,0.1,15000,500
0.33034444,0.3305778,0.33907777,0.1,0.11,999999,6,0,0,0,0,0.1,15000,500
0.3326,0.32553333,0.34186667,0.1,0.11,999999,7,0,0,0,0,0.1,15000,500
0.33597776,0.33017778,0.33384445,0.1,0.11,999999,8,0,0,0,0,0.1,15000,500
0.33787778,0.32197776,0.34014446,0.1,0.11,999999,9,0,0,0,0,0.1,15000,500
0.33595556,0.31465554,0.3493889,0.1,0.11,999999,10,0,0,0,0,0.1,15000,500
0.3355889,0.32088888,0.34352222,0.1,0.11,999999,11,0,0,0,0,0.1,15000,500
0.32416666,0.32443333,0.3514,0.1,0.11,999999,12,0,0,0,0,0.1,15000,500
0.3313889,0.31862223,0.34998888,0.1,0.11,999999,13,0,0,0,0,0.1,15000,500
0.32648888,0.3204889,0.35302222,0.1,0.11,999999,14,0,0,0,0,0.1,15000,500
0.33103332,0.3215,0.34746668,0.1,0.11,999999,15,0,0,0,0,0.1,15000,500
0.3286889,0.31728888,0.35402223,0.1,0.11,999999,16,0,0,0,0,0.1,15000,500
0.3267,0.32006666,0.35323334,0.1,0.11,999999,17,0,0,0,0,0.1,15000,500
0.32446668,0.31373334,0.3618,0.1,0.11,999999,18,0,0,0,0,0.1,15000,500
0.3249778,0.31927776,0.35574445,0.1,0.11,999999,19,0,0,0,0,0.1,15000,500
0.32652223,0.31465554,0.35882223,0.1,0.11,999999,20,0,0,0,0,0.1,15000,500
0.3393778,0.3307111,0.3299111,0.5,0.51,999999,0,0,0,0,0,0.1,15000,500
0.33574444,0.3259111,0.33834445,0.5,0.51,999999,1,0,0,0,0,0.1,15000,500
0.33984444,0.32317778,0.33697778,0.5,0.51,999999,2,0,0,0,0,0.1,15000,500
0.32673332,0.3261,0.34716666,0.5,0.51,999999,3,0,0,0,0,0.1,15000,500
0.3377,0.32133332,0.34096667,0.5,0.51,999999,4,0,0,0,0,0.1,15000,500
0.3296,0.31926668,0.35113335,0.5,0.51,999999,5,0,0,0,0,0.1,15000,500
0.3221,0.31703332,0.36086667,0.5,0.51,999999,6,0,0,0,0,0.1,15000,500
0.3243111,0.31414443,0.36154443,0.5,0.51,999999,7,0,0,0,0,0.1,15000,500
0.3277,0.31603333,0.35626668,0.5,0.51,999999,8,0,0,0,0,0.1,15000,500
0.31665555,0.31815556,0.3651889,0.5,0.51,999999,9,0,0,0,0,0.1,15000,500
0.31608889,0.3064889,0.3774222,0.5,0.51,999999,10,0,0,0,0,0.1,15000,500
0.3227111,0.3058111,0.37147778,0.5,0.51,999999,11,0,0,0,0,0.1,15000,500
0.3157111,0.31357777,0.37071112,0.5,0.51,999999,12,0,0,0,0,0.1,15000,500
0.31596667,0.30666667,0.37736666,0.5,0.51,999999,13,0,0,0,0,0.1,15000,500
0.31526667,0.30323333,0.3815,0.5,0.51,999999,14,0,0,0,0,0.1,15000,500
0.31846666,0.2965,0.38503334,0.5,0.51,999999,15,0,0,0,0,0.1,15000,500
0.31251112,0.30314445,0.38434446,0.5,0.51,999999,16,0,0,0,0,0.1,15000,500
0.31624445,0.30794445,0.3758111,0.5,0.51,999999,17,0,0,0,0,0.1,15000,500
0.30886668,0.31256667,0.37856665,0.5,0.51,999999,18,0,0,0,0,0.1,15000,500
0.3014222,0.30402222,0.39455557,0.5,0.51,999999,19,0,0,0,0,0.1,15000,500
0.31322223,0.30105555,0.38572222,0.5,0.51,999999,20,0,0,0,0,0.1,15000,500
0.3414,0.32726666,0.33133334,1,1.01,999999,0,0,0,0,0,0.1,15000,500
0.3349889,0.32342222,0.34158888,1,1.01,999999,1,0,0,0,0,0.1,15000,500
0.3324889,0.3246222,0.3428889,1,1.01,999999,2,0,0,0,0,0.1,15000,500
0.3293889,0.32335556,0.34725556,1,1.01,999999,3,0,0,0,0,0.1,15000,500
0.32972223,0.3177889,0.35248888,1,1.01,999999,4,0,0,0,0,0.1,15000,500
0.3243,0.31383333,0.36186665,1,1.01,999999,5,0,0,0,0,0.1,15000,500
0.31867778,0.31434444,0.36697778,1,1.01,999999,6,0,0,0,0,0.1,15000,500
0.31723332,0.31566668,0.3671,1,1.01,999999,7,0,0,0,0,0.1,15000,500
0.31948888,0.31048888,0.3700222,1,1.01,999999,8,0,0,0,0,0.1,15000,500
0.31845555,0.3122222,0.3693222,1,1.01,999999,9,0,0,0,0,0.1,15000,500
0.3239,0.2985,0.3776,1,1.01,999999,10,0,0,0,0,0.1,15000,500
0.31036666,0.30926666,0.38036665,1,1.01,999999,11,0,0,0,0,0.1,15000,500
0.31563333,0.29973334,0.38463333,1,1.01,999999,12,0,0,0,0,0.1,15000,500
0.3171889,0.2956889,0.3871222,1,1.01,999999,13,0,0,0,0,0.1,15000,500
0.31046668,0.3026,0.38693333,1,1.01,999999,14,0,0,0,0,0.1,15000,500
0.3076111,0.30951113,0.38287777,1,1.01,999999,15,0,0,0,0,0.1,15000,500
0.31227776,0.29907778,0.38864446,1,1.01,999999,16,0,0,0,0,0.1,15000,500
0.30782223,0.3008889,0.39128888,1,1.01,999999,17,0,0,0,0,0.1,15000,500
0.3149222,0.30345556,0.38162223,1,1.01,999999,18,0,0,0,0,0.1,15000,500
0.31002223,0.30265555,0.38732222,1,1.01,999999,19,0,0,0,0,0.1,15000,500
0.30987778,0.2995111,0.3906111,1,1.01,999999,20,0,0,0,0,0.1,15000,500
0.34243333,0.33073333,0.32683334,2,2.01,999999,0,0,0,0,0,0.1,15000,500
0.33771113,0.3262778,0.3360111,2,2.01,999999,1,0,0,0,0,0.1,15000,500
0.33344445,0.31897777,0.34757778,2,2.01,999999,2,0,0,0,0,0.1,15000,500
0.3283889,0.32178888,0.34982222,2,2.01,999999,3,0,0,0,0,0.1,15000,500
0.32186666,0.319,0.35913333,2,2.01,999999,4,0,0,0,0,0.1,15000,500
0.32002223,0.32065555,0.35932222,2,2.01,999999,5,0,0,0,0,0.1,15000,500
0.32713333,0.3095,0.36336666,2,2.01,999999,6,0,0,0,0,0.1,15000,500
