P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.33731112,0.32954445,0.33314446,0.1,0.11,999999,0,0,0,0,0,0.1,15000,500
0.339,0.33373332,0.32726666,0.1,0.11,999999,1,0,0,0,0,0.1,15000,500
0.34175557,0.32955554,0.3286889,0.1,0.11,999999,2,0,0,0,0,0.1,15000,500
0.33804443,0.32801113,0.33394444,0.1,0.11,999999,3,0,0,0,0,0.1,15000,500
0.3355778,0.32674444,0.33767778,0.1,0.11,999999,4,0,0,0,0,0.1,15000,500
0.33624443,0.32504445,0.3387111,0.1,0.11,999999,5,0,0,0,0,0.1,15000,500
0.33585554,0.32922223,0.33492222,0.1,0.11,999999,6,0,0,0,0,0.1,15000,500
0.33707777,0.32401112,0.33891112,0.1,0.11,999999,7,0,0,0,0,0.1,15000,500
0.33273333,0.32793334,0.33933333,0.1,0.11,999999,8,0,0,0,0,0.1,15000,500
0.3301,0.32533333,0.34456667,0.1,0.11,999999,9,0,0,0,0,0.1,15000,500
0.33312222,0.32275555,0.34412223,0.1,0.11,999999,10,0,0,0,0,0.1,15000,500
0.33026665,0.32626668,0.34346667,0.1,0.11,999999,11,0,0,0,0,0.1,15000,500
0.3291,0.32206666,0.34883332,0.1,0.11,999999,12,0,0,0,0,0.1,15000,500
0.33137777,0.3267778,0.34184444,0.1,0.11,999999,13,0,0,0,0,0.1,15000,500
0.33187777,0.3189111,0.3492111,0.1,0.11,999999,14,0,0,0,0,0.1,15000,500
0.32474443,0.32401112,0.35124445,0.1,0.11,999999,15,0,0,0,0,0.1,15000,500
0.32933334,0.31946668,0.3512,0.1,0.11,999999,16,0,0,0,0,0.1,15000,500
0.3342111,0.3236111,0.34217778,0.1,0.11,999999,17,0,0,0,0,0.1,15000,500
0.33436668,0.31903332,0.3466,0.1,0.11,999999,18,0,0,0,0,0.1,15000,500
0.3286889,0.31932223,0.35198888,0.1,0.11,999999,19,0,0,0,0,0.1,15000,500
0.32403332,0.3247,0.35126665,0.1,0.11,999999,20,0,0,0,0,0.1,15000,500
0.337,0.33356667,0.32943332,0.5,0.51,999999,0,0,0,0,0,0.1,15000,500
0.3350222,0.33135554,0.33362222,0.5,0.51,999999,1,0,0,0,0,0.1,15000,500
0.33461112,0.31874445,0.34664443,0.5,0.51,999999,2,0,0,0,0,0.1,15000,500
0.33326668,0.32543334,0.3413,0.5,0.51,999999,3,0,0,0,0,0.1,15000,500
0.32966667,0.32353333,0.3468,0.5,0.51,999999,4,0,0,0,0,0.1,15000,500
0.32988888,0.31915554,0.35095555,0.5,0.51,999999,5,0,0,0,0,0.1,15000,500
0.3245111,0.3193111,0.35617778,0.5,0.51,999999,6,0,0,0,0,0.1,15000,500
0.33445555,0.31005555,0.3554889,0.5,0.51,999999,7,0,0,0,0,0.1,15000,500
0.32592222,0.3167222,0.35735556,0.5,0.51,999999,8,0,0,0,0,0.1,15000,500
0.32015556,0.31835556,0.36148888,0.5,0.51,999999,9,0,0,0,0,0.1,15000,500
0.31752223,0.3123889,0.37008888,0.5,0.51,999999,10,0,0,0,0,0.1,15000,500
0.3231889,0.30922222,0.36758888,0.5,0.51,999999,11,0,0,0,0,0.1,15000,500
0.31915554,0.31505555,0.36578888,0.5,0.51,999999,12,0,0,0,0,0.1,15000,500
0.31951112,0.3078111,0.37267777,0.5,0.51,999999,13,0,0,0,0,0.1,15000,500
0.31404445,0.3086778,0.3772778,0.5,0.51,999999,14,0,0,0,0,0.1,15000,500
0.31175557,0.3101889,0.37805554,0.5,0.51,999999,15,0,0,0,0,0.1,15000,500
0.31838888,0.30852222,0.3730889,0.5,0.51,999999,16,0,0,0,0,0.1,15000,500
0.3148111,0.30437776,0.38081113,0.5,0.51,999999,17,0,0,0,0,0.1,15000,500
0.3133,0.3063,0.3804,0.5,0.51,999999,18,0,0,0,0,0.1,15000,500
0.3155111,0.30837777,0.37611112,0.5,0.51,999999,19,0,0,0,0,0.1,15000,500
0.31236666,0.31043333,0.3772,0.5,0.51,999999,20,0,0,0,0,0.1,15000,500
0.33863333,0.3297,0.33166668,1,1.01,999999,0,0,0,0,0,0.1,15000,500
0.33621112,0.32964444,0.33414444,1,1.01,999999,1,0,0,0,0,0.1,15000,500
0.33155555,0.3258889,0.34255555,1,1.01,999999,2,0,0,0,0,0.1,15000,500
0.32784444,0.32254446,0.3496111,1,1.01,999999,3,0,0,0,0,0.1,15000,500
0.32493332,0.32353333,0.35153332,1,1.01,999999,4,0,0,0,0,0.1,15000,500
0.32633334,0.31946668,0.3542,1,1.01,999999,5,0,0,0,0,0.1,15000,500
0.33172223,0.31782222,0.35045555,1,1.01,999999,6,0,0,0,0,0.1,15000,500
0.32484445,0.3114111,0.36374444,1,1.01,999999,7,0,0,0,0,0.1,15000,500
0.32195556,0.3163222,0.36172223,1,1.01,999999,8,0,0,0,0,0.1,15000,500
0.32322222,0.3120222,0.36475554,1,1.01,999999,9,0,0,0,0,0.1,15000,500
0.32182223,0.30822223,0.36995557,1,1.01,999999,10,0,0,0,0,0.1,15000,500
0.32297778,0.30931112,0.3677111,1,1.01,999999,11,0,0,0,0,0.1,15000,500
0.31515557,0.31052223,0.37432224,1,1.01,999999,12,0,0,0,0,0.1,15000,500
0.3138,0.31163332,0.37456667,1,1.01,999999,13,0,0,0,0,0.1,15000,500
0.3121111,0.30821112,0.37967777,1,1.01,999999,14,0,0,0,0,0.1,15000,500
0.31494445,0.30204445,0.3830111,1,1.01,999999,15,0,0,0,0,0.1,15000,500
0.31864443,0.30107778,0.38027778,1,1.01,999999,16,0,0,0,0,0.1,15000,500
0.30907777,0.29854444,0.39237776,1,1.01,999999,17,0,0,0,0,0.1,15000,500
0.31633332,0.3052,0.37846667,1,1.01,999999,18,0,0,0,0,0.1,15000,500
0.3169,0.30263335,0.38046667,1,1.01,999999,19,0,0,0,0,0.1,15000,500
0.31583333,0.30033332,0.38383332,1,1.01,999999,20,0,0,0,0,0.1,15000,500
0.3346778,0.3419111,0.3234111,2,2.01,999999,0,0,0,0,0,0.1,15000,500
0.33926666,0.32826668,0.33246666,2,2.01,999999,1,0,0,0,0,0.1,15000,500
0.33257776,0.32204443,0.34537777,2,2.01,999999,2,0,0,0,0,0.1,15000,500
0.33853334,0.31876665,0.3427,2,2.01,999999,3,0,0,0,0,0.1,15000,500
0.3364,0.31703332,0.34656668,2,2.01,999999,4,0,0,0,0,0.1,15000,500
0.32784444,0.3182111,0.35394445,2,2.01,999999,5,0,0,0,0,0.1,15000,500
0.33126667,0.31853333,0.3502,2,2.01,999999,6,0,0,0,0,0.1,15000,500
0.3245111,0.31847778,0.3570111,2,2.01,999999,7,0,0,0,0,0.1,15000,500
0.3228222,0.3176222,0.35955554,2,2.01,999999,8,0,0,0,0,0.1,15000,500
0.32742223,0.3103889,0.36218888,2,2.01,999999,9,0,0,0,0,0.1,15000,500
0.33116665,0.31493333,0.3539,2,2.01,999999,10,0,0,0,0,0.1,15000,500
0.3272111,0.30931112,0.36347777,2,2.01,999999,11,0,0,0,0,0.1,15000,500
0.3237222,0.30965555,0.3666222,2,2.01,999999,12,0,0,0,0,0.1,15000,500
0.32468888,0.31028888,0.3650222,2,2.01,999999,13,0,0,0,0,0.1,15000,500
0.32437778,0.30997777,0.36564445,2,2.01,999999,14,0,0,0,0,0.1,15000,500
0.3259889,0.30845556,0.36555555,2,2.01,999999,15,0,0,0,0,0.1,15000,500
0.32825556,0.3076889,0.36405554,2,2.01,999999,16,0,0,0,0,0.1,15000,500
0.31893334,0.316,0.36506668,2,2.01,999999,17,0,0,0,0,0.1,15000,500
0.3196889,0.30348888,0.37682223,2,2.01,999999,18,0,0,0,0,0.1,15000,500
0.31724444,0.3114111,0.37134445,2,2.01,999999,19,0,0,0,0,0.1,15000,500
0.32222223,0.31102222,0.36675555,2,2.01,999999,20,0,0,0,0,0.1,15000,500
