Expected d-ab,Expected d-ac,Expected d-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
148.52715,149.03923,149.03857,1,1.01,999999,0,0,0,0,0,0.1,40000,500
147.73297,149.1301,148.67802,1,1.01,999999,1,0,0,0,0,0.1,40000,500
148.57643,148.7105,148.87057,1,1.01,999999,2,0,0,0,0,0.1,40000,500
148.441,148.57045,148.65508,1,1.01,999999,3,0,0,0,0,0.1,40000,500
147.80278,148.89853,148.9028,1,1.01,999999,4,0,0,0,0,0.1,40000,500
148.00708,148.56172,148.36833,1,1.01,999999,5,0,0,0,0,0.1,40000,500
148.39752,148.91963,148.73393,1,1.01,999999,6,0,0,0,0,0.1,40000,500
148.1352,148.8941,148.89185,1,1.01,999999,7,0,0,0,0,0.1,40000,500
148.03105,149.11998,149.104,1,1.01,999999,8,0,0,0,0,0.1,40000,500
148.07535,148.9014,148.52914,1,1.01,999999,9,0,0,0,0,0.1,40000,500
148.20497,149.00403,149.3739,1,1.01,999999,10,0,0,0,0,0.1,40000,500
147.86005,148.76973,148.38887,1,1.01,999999,11,0,0,0,0,0.1,40000,500
148.1521,148.70752,148.53783,1,1.01,999999,12,0,0,0,0,0.1,40000,500
148.43915,148.79973,148.79037,1,1.01,999999,13,0,0,0,0,0.1,40000,500
148.73157,148.93718,149.227,1,1.01,999999,14,0,0,0,0,0.1,40000,500
148.292,148.90428,149.41333,1,1.01,999999,15,0,0,0,0,0.1,40000,500
148.24225,149.11765,148.9966,1,1.01,999999,16,0,0,0,0,0.1,40000,500
148.27435,148.88033,148.81027,1,1.01,999999,17,0,0,0,0,0.1,40000,500
147.95474,148.68835,148.539,1,1.01,999999,18,0,0,0,0,0.1,40000,500
148.18178,148.7875,148.65453,1,1.01,999999,19,0,0,0,0,0.1,40000,500
148.35655,148.9418,148.93405,1,1.01,999999,20,0,0,0,0,0.1,40000,500
