P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.339,0.3349,0.3261,1,1.01,999999,0,0,0,0,0,0.1,10000,50
0.3358,0.3366,0.3276,1,1.01,999999,0,0,0,0,0,0.01,10000,50
0.328,0.3302,0.3418,1,1.01,999999,1,0,0,0,0,0.1,10000,50
0.3374,0.321,0.3416,1,1.01,999999,1,0,0,0,0,0.01,10000,50
0.3354,0.315,0.3496,1,1.01,999999,2,0,0,0,0,0.1,10000,50
0.3265,0.3249,0.3486,1,1.01,999999,2,0,0,0,0,0.01,10000,50
0.3287,0.3151,0.3562,1,1.01,999999,3,0,0,0,0,0.1,10000,50
0.3257,0.315,0.3593,1,1.01,999999,3,0,0,0,0,0.01,10000,50
0.3229,0.3122,0.3649,1,1.01,999999,4,0,0,0,0,0.1,10000,50
0.3213,0.3149,0.3638,1,1.01,999999,4,0,0,0,0,0.01,10000,50
0.3256,0.3118,0.3626,1,1.01,999999,5,0,0,0,0,0.1,10000,50
0.3224,0.3101,0.3675,1,1.01,999999,5,0,0,0,0,0.01,10000,50
0.3166,0.3082,0.3752,1,1.01,999999,6,0,0,0,0,0.1,10000,50
0.3189,0.3064,0.3747,1,1.01,999999,6,0,0,0,0,0.01,10000,50
0.3217,0.304,0.3743,1,1.01,999999,7,0,0,0,0,0.1,10000,50
0.3154,0.2976,0.387,1,1.01,999999,7,0,0,0,0,0.01,10000,50
0.3129,0.3103,0.3768,1,1.01,999999,8,0,0,0,0,0.1,10000,50
0.3132,0.3013,0.3855,1,1.01,999999,8,0,0,0,0,0.01,10000,50
0.3173,0.3077,0.375,1,1.01,999999,9,0,0,0,0,0.1,10000,50
0.3138,0.297,0.3892,1,1.01,999999,9,0,0,0,0,0.01,10000,50
0.3146,0.3051,0.3803,1,1.01,999999,10,0,0,0,0,0.1,10000,50
0.3116,0.3025,0.3859,1,1.01,999999,10,0,0,0,0,0.01,10000,50
0.3171,0.3044,0.3785,1,1.01,999999,11,0,0,0,0,0.1,10000,50
0.3066,0.2902,0.4032,1,1.01,999999,11,0,0,0,0,0.01,10000,50
0.3084,0.3043,0.3873,1,1.01,999999,12,0,0,0,0,0.1,10000,50
0.3152,0.2969,0.3879,1,1.01,999999,12,0,0,0,0,0.01,10000,50
0.3102,0.3028,0.387,1,1.01,999999,13,0,0,0,0,0.1,10000,50
0.3014,0.2942,0.4044,1,1.01,999999,13,0,0,0,0,0.01,10000,50
0.3052,0.3006,0.3942,1,1.01,999999,14,0,0,0,0,0.1,10000,50
0.3127,0.2917,0.3956,1,1.01,999999,14,0,0,0,0,0.01,10000,50
0.3112,0.2914,0.3974,1,1.01,999999,15,0,0,0,0,0.1,10000,50
0.3012,0.2913,0.4075,1,1.01,999999,15,0,0,0,0,0.01,10000,50
0.3022,0.3047,0.3931,1,1.01,999999,16,0,0,0,0,0.1,10000,50
0.3062,0.292,0.4018,1,1.01,999999,16,0,0,0,0,0.01,10000,50
0.3119,0.2928,0.3953,1,1.01,999999,17,0,0,0,0,0.1,10000,50
0.3028,0.2896,0.4076,1,1.01,999999,17,0,0,0,0,0.01,10000,50
0.3093,0.2986,0.3921,1,1.01,999999,18,0,0,0,0,0.1,10000,50
0.3013,0.2989,0.3998,1,1.01,999999,18,0,0,0,0,0.01,10000,50
0.3033,0.2986,0.3981,1,1.01,999999,19,0,0,0,0,0.1,10000,50
0.2992,0.2915,0.4093,1,1.01,999999,19,0,0,0,0,0.01,10000,50
0.3109,0.2957,0.3934,1,1.01,999999,20,0,0,0,0,0.1,10000,50
