P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.34443334,0.32903334,0.32653335,1,1.01,999999,0,0,0,0,0,0.1,10000,50
0.33553332,0.33833334,0.32613334,1,1.01,999999,0,0,0,0,0,0.01,10000,50
0.32643333,0.34128332,0.33228335,1,1.01,999999,1,0,0,0,0,0.1,10000,50
0.33666667,0.32931668,0.33401668,1,1.01,999999,1,0,0,0,0,0.01,10000,50
0.32928333,0.33313334,0.33758333,1,1.01,999999,2,0,0,0,0,0.1,10000,50
0.33876666,0.32381666,0.33741668,1,1.01,999999,2,0,0,0,0,0.01,10000,50
0.33868334,0.32848334,0.33283332,1,1.01,999999,3,0,0,0,0,0.1,10000,50
0.33288333,0.32908332,0.33803332,1,1.01,999999,3,0,0,0,0,0.01,10000,50
0.32506666,0.32121667,0.35371667,1,1.01,999999,4,0,0,0,0,0.1,10000,50
0.33038333,0.33323333,0.33638334,1,1.01,999999,4,0,0,0,0,0.01,10000,50
0.33561668,0.31671667,0.34766668,1,1.01,999999,5,0,0,0,0,0.1,10000,50
0.32845,0.3282,0.34335,1,1.01,999999,5,0,0,0,0,0.01,10000,50
0.32793334,0.32608333,0.34598333,1,1.01,999999,6,0,0,0,0,0.1,10000,50
0.3297,0.33015,0.34015,1,1.01,999999,6,0,0,0,0,0.01,10000,50
0.32375,0.3279,0.34835,1,1.01,999999,7,0,0,0,0,0.1,10000,50
0.33768332,0.32308334,0.33923334,1,1.01,999999,7,0,0,0,0,0.01,10000,50
0.32833335,0.32483333,0.34683332,1,1.01,999999,8,0,0,0,0,0.1,10000,50
0.33621666,0.33066666,0.33311668,1,1.01,999999,8,0,0,0,0,0.01,10000,50
0.32713333,0.32023335,0.35263333,1,1.01,999999,9,0,0,0,0,0.1,10000,50
0.33223334,0.32758334,0.34018335,1,1.01,999999,9,0,0,0,0,0.01,10000,50
0.32048333,0.31983334,0.35968333,1,1.01,999999,10,0,0,0,0,0.1,10000,50
0.32988334,0.33048335,0.33963335,1,1.01,999999,10,0,0,0,0,0.01,10000,50
0.33373332,0.31693333,0.34933335,1,1.01,999999,11,0,0,0,0,0.1,10000,50
0.34103334,0.32233334,0.33663332,1,1.01,999999,11,0,0,0,0,0.01,10000,50
0.32701668,0.32376668,0.34921667,1,1.01,999999,12,0,0,0,0,0.1,10000,50
0.33501667,0.32601666,0.33896667,1,1.01,999999,12,0,0,0,0,0.01,10000,50
0.32348335,0.30878332,0.36773333,1,1.01,999999,13,0,0,0,0,0.1,10000,50
0.33045,0.3288,0.34075,1,1.01,999999,13,0,0,0,0,0.01,10000,50
0.3305,0.3178,0.3517,1,1.01,999999,14,0,0,0,0,0.1,10000,50
0.32141668,0.32626668,0.35231668,1,1.01,999999,14,0,0,0,0,0.01,10000,50
0.3288,0.3134,0.3578,1,1.01,999999,15,0,0,0,0,0.1,10000,50
0.32461667,0.32636666,0.34901667,1,1.01,999999,15,0,0,0,0,0.01,10000,50
0.3232,0.3147,0.3621,1,1.01,999999,16,0,0,0,0,0.1,10000,50
0.32815,0.3273,0.34455,1,1.01,999999,16,0,0,0,0,0.01,10000,50
0.3271,0.31465,0.35825,1,1.01,999999,17,0,0,0,0,0.1,10000,50
0.32936665,0.32631665,0.34431666,1,1.01,999999,17,0,0,0,0,0.01,10000,50
0.33145,0.3115,0.35705,1,1.01,999999,18,0,0,0,0,0.1,10000,50
0.33331665,0.32391667,0.34276667,1,1.01,999999,18,0,0,0,0,0.01,10000,50
0.32058334,0.31423333,0.36518332,1,1.01,999999,19,0,0,0,0,0.1,10000,50
0.33276665,0.32716668,0.34006667,1,1.01,999999,19,0,0,0,0,0.01,10000,50
0.31808335,0.31068334,0.37123334,1,1.01,999999,20,0,0,0,0,0.1,10000,50
0.33213332,0.31478333,0.35308334,1,1.01,999999,20,0,0,0,0,0.01,10000,50
0.34411666,0.32801667,0.32786667,1,1.02,999999,0,0,0,0,0,0.1,10000,50
0.34126666,0.32201666,0.33671665,1,1.02,999999,0,0,0,0,0,0.01,10000,50
0.34086666,0.32206666,0.33706668,1,1.02,999999,1,0,0,0,0,0.1,10000,50
0.33516666,0.32711667,0.33771667,1,1.02,999999,1,0,0,0,0,0.01,10000,50
0.33861667,0.32681668,0.33456665,1,1.02,999999,2,0,0,0,0,0.1,10000,50
0.33646667,0.32766667,0.33586666,1,1.02,999999,2,0,0,0,0,0.01,10000,50
0.33363333,0.32263333,0.34373334,1,1.02,999999,3,0,0,0,0,0.1,10000,50
0.3301,0.3342,0.3357,1,1.02,999999,3,0,0,0,0,0.01,10000,50
0.33685,0.31545,0.3477,1,1.02,999999,4,0,0,0,0,0.1,10000,50
0.34066668,0.32826668,0.33106667,1,1.02,999999,4,0,0,0,0,0.01,10000,50
0.33596668,0.32156667,0.34246665,1,1.02,999999,5,0,0,0,0,0.1,10000,50
0.33626667,0.32916668,0.33456665,1,1.02,999999,5,0,0,0,0,0.01,10000,50
0.33761665,0.31261668,0.34976667,1,1.02,999999,6,0,0,0,0,0.1,10000,50
0.33821666,0.32926667,0.33251667,1,1.02,999999,6,0,0,0,0,0.01,10000,50
0.3291,0.32845,0.34245,1,1.02,999999,7,0,0,0,0,0.1,10000,50
0.33493334,0.32943332,0.33563334,1,1.02,999999,7,0,0,0,0,0.01,10000,50
0.33315,0.32055,0.3463,1,1.02,999999,8,0,0,0,0,0.1,10000,50
0.33655,0.32675,0.3367,1,1.02,999999,8,0,0,0,0,0.01,10000,50
0.33518332,0.32143334,0.34338334,1,1.02,999999,9,0,0,0,0,0.1,10000,50
0.3322,0.32325,0.34455,1,1.02,999999,9,0,0,0,0,0.01,10000,50
0.3356,0.31405,0.35035,1,1.02,999999,10,0,0,0,0,0.1,10000,50
0.33211666,0.32546666,0.34241667,1,1.02,999999,10,0,0,0,0,0.01,10000,50
0.33226666,0.31591666,0.35181665,1,1.02,999999,11,0,0,0,0,0.1,10000,50
0.33655,0.3222,0.34125,1,1.02,999999,11,0,0,0,0,0.01,10000,50
0.33005,0.3081,0.36185,1,1.02,999999,12,0,0,0,0,0.1,10000,50
0.33468333,0.31938332,0.34593335,1,1.02,999999,12,0,0,0,0,0.01,10000,50
0.3262,0.31465,0.35915,1,1.02,999999,13,0,0,0,0,0.1,10000,50
0.33373332,0.33108333,0.33518332,1,1.02,999999,13,0,0,0,0,0.01,10000,50
0.34133333,0.30798334,0.35068333,1,1.02,999999,14,0,0,0,0,0.1,10000,50
0.3281,0.3326,0.3393,1,1.02,999999,14,0,0,0,0,0.01,10000,50
0.33096668,0.31696665,0.35206667,1,1.02,999999,15,0,0,0,0,0.1,10000,50
0.33278334,0.32543334,0.34178334,1,1.02,999999,15,0,0,0,0,0.01,10000,50
0.33093333,0.31788334,0.35118333,1,1.02,999999,16,0,0,0,0,0.1,10000,50
0.331,0.3209,0.3481,1,1.02,999999,16,0,0,0,0,0.01,10000,50
0.33248332,0.31478333,0.35273334,1,1.02,999999,17,0,0,0,0,0.1,10000,50
0.32848334,0.32658333,0.34493333,1,1.02,999999,17,0,0,0,0,0.01,10000,50
0.32213333,0.31713334,0.36073333,1,1.02,999999,18,0,0,0,0,0.1,10000,50
0.3349,0.32535,0.33975,1,1.02,999999,18,0,0,0,0,0.01,10000,50
0.32515,0.31785,0.357,1,1.02,999999,19,0,0,0,0,0.1,10000,50
0.33383334,0.32158333,0.34458333,1,1.02,999999,19,0,0,0,0,0.01,10000,50
0.32681668,0.31546667,0.35771668,1,1.02,999999,20,0,0,0,0,0.1,10000,50
0.32163334,0.33623335,0.34213334,1,1.02,999999,20,0,0,0,0,0.01,10000,50
0.34881666,0.31756666,0.33361667,1,1.03,999999,0,0,0,0,0,0.1,10000,50
0.33976668,0.33021668,0.33001667,1,1.03,999999,0,0,0,0,0,0.01,10000,50
0.34465,0.3214,0.33395,1,1.03,999999,1,0,0,0,0,0.1,10000,50
0.33891666,0.32296667,0.33811668,1,1.03,999999,1,0,0,0,0,0.01,10000,50
0.34406668,0.32366666,0.33226666,1,1.03,999999,2,0,0,0,0,0.1,10000,50
0.34391665,0.32846665,0.32761666,1,1.03,999999,2,0,0,0,0,0.01,10000,50
0.33858332,0.31618333,0.34523332,1,1.03,999999,3,0,0,0,0,0.1,10000,50
0.33896667,0.32911667,0.33191666,1,1.03,999999,3,0,0,0,0,0.01,10000,50
0.3401,0.3144,0.3455,1,1.03,999999,4,0,0,0,0,0.1,10000,50
0.33901668,0.32206666,0.33891666,1,1.03,999999,4,0,0,0,0,0.01,10000,50
0.33861667,0.32651666,0.33486667,1,1.03,999999,5,0,0,0,0,0.1,10000,50
0.34521666,0.31731668,0.33746666,1,1.03,999999,5,0,0,0,0,0.01,10000,50
0.34,0.3215,0.3385,1,1.03,999999,6,0,0,0,0,0.1,10000,50
0.33686668,0.32156667,0.34156665,1,1.03,999999,6,0,0,0,0,0.01,10000,50
0.3316,0.3196,0.3488,1,1.03,999999,7,0,0,0,0,0.1,10000,50
0.3452,0.3247,0.3301,1,1.03,999999,7,0,0,0,0,0.01,10000,50
0.33775,0.3083,0.35395,1,1.03,999999,8,0,0,0,0,0.1,10000,50
0.33658335,0.32363334,0.33978334,1,1.03,999999,8,0,0,0,0,0.01,10000,50
0.32768333,0.32153332,0.35078335,1,1.03,999999,9,0,0,0,0,0.1,10000,50
0.33528334,0.32503334,0.33968332,1,1.03,999999,9,0,0,0,0,0.01,10000,50
0.33318335,0.31688333,0.34993333,1,1.03,999999,10,0,0,0,0,0.1,10000,50
0.33206666,0.33351666,0.33441666,1,1.03,999999,10,0,0,0,0,0.01,10000,50
0.33196667,0.31926668,0.34876665,1,1.03,999999,11,0,0,0,0,0.1,10000,50
0.34063333,0.32243332,0.33693334,1,1.03,999999,11,0,0,0,0,0.01,10000,50
0.33643332,0.30963334,0.35393333,1,1.03,999999,12,0,0,0,0,0.1,10000,50
0.33996665,0.31696665,0.34306666,1,1.03,999999,12,0,0,0,0,0.01,10000,50
0.3281,0.3096,0.3623,1,1.03,999999,13,0,0,0,0,0.1,10000,50
0.33061665,0.33081666,0.33856666,1,1.03,999999,13,0,0,0,0,0.01,10000,50
0.33206666,0.30631667,0.36161667,1,1.03,999999,14,0,0,0,0,0.1,10000,50
0.33075,0.3213,0.34795,1,1.03,999999,14,0,0,0,0,0.01,10000,50
0.33108333,0.30338332,0.36553332,1,1.03,999999,15,0,0,0,0,0.1,10000,50
0.33448333,0.32263333,0.34288332,1,1.03,999999,15,0,0,0,0,0.01,10000,50
0.32971665,0.30916667,0.36111668,1,1.03,999999,16,0,0,0,0,0.1,10000,50
0.3429,0.3164,0.3407,1,1.03,999999,16,0,0,0,0,0.01,10000,50
0.33215,0.30305,0.3648,1,1.03,999999,17,0,0,0,0,0.1,10000,50
0.33331665,0.32566667,0.34101668,1,1.03,999999,17,0,0,0,0,0.01,10000,50
0.33461666,0.30111668,0.36426666,1,1.03,999999,18,0,0,0,0,0.1,10000,50
0.3536,0.31645,0.32995,1,1.03,999999,18,0,0,0,0,0.01,10000,50
0.3243,0.3162,0.3595,1,1.03,999999,19,0,0,0,0,0.1,10000,50
0.3334,0.3221,0.3445,1,1.03,999999,19,0,0,0,0,0.01,10000,50
0.33093333,0.31948334,0.34958333,1,1.03,999999,20,0,0,0,0,0.1,10000,50
0.33746666,0.31886667,0.34366667,1,1.03,999999,20,0,0,0,0,0.01,10000,50
0.343,0.32285,0.33415,1,1.04,999999,0,0,0,0,0,0.1,10000,50
0.33915,0.3237,0.33715,1,1.04,999999,0,0,0,0,0,0.01,10000,50
0.3561,0.32035,0.32355,1,1.04,999999,1,0,0,0,0,0.1,10000,50
0.33956668,0.32281667,0.33761665,1,1.04,999999,1,0,0,0,0,0.01,10000,50
0.34315,0.3183,0.33855,1,1.04,999999,2,0,0,0,0,0.1,10000,50
0.3415,0.32635,0.33215,1,1.04,999999,2,0,0,0,0,0.01,10000,50
0.34568334,0.31888333,0.33543333,1,1.04,999999,3,0,0,0,0,0.1,10000,50
0.34381667,0.31991667,0.33626667,1,1.04,999999,3,0,0,0,0,0.01,10000,50
0.3423,0.3165,0.3412,1,1.04,999999,4,0,0,0,0,0.1,10000,50
0.33511665,0.33381668,0.33106667,1,1.04,999999,4,0,0,0,0,0.01,10000,50
0.34881666,0.31721666,0.33396667,1,1.04,999999,5,0,0,0,0,0.1,10000,50
0.34873334,0.31898335,0.33228335,1,1.04,999999,5,0,0,0,0,0.01,10000,50
0.3407,0.3204,0.3389,1,1.04,999999,6,0,0,0,0,0.1,10000,50
0.338,0.3298,0.3322,1,1.04,999999,6,0,0,0,0,0.01,10000,50
0.33543333,0.31828332,0.34628335,1,1.04,999999,7,0,0,0,0,0.1,10000,50
0.34738332,0.32603332,0.32658333,1,1.04,999999,7,0,0,0,0,0.01,10000,50
0.34783334,0.30273333,0.34943333,1,1.04,999999,8,0,0,0,0,0.1,10000,50
0.33971667,0.33006668,0.33021668,1,1.04,999999,8,0,0,0,0,0.01,10000,50
0.34045,0.3253,0.33425,1,1.04,999999,9,0,0,0,0,0.1,10000,50
0.34643334,0.32063332,0.33293334,1,1.04,999999,9,0,0,0,0,0.01,10000,50
0.34328333,0.30988333,0.34683332,1,1.04,999999,10,0,0,0,0,0.1,10000,50
