P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.33686668,0.32991666,0.33321667,1,1.01,999999,0,0,0,0,0,0.1,10000,50
0.3303,0.3384,0.3313,1,1.01,999999,0,0,0,0,0,0.01,10000,50
0.34311667,0.33426666,0.32261667,1,1.01,999999,1,0,0,0,0,0.1,10000,50
0.3344,0.32945,0.33615,1,1.01,999999,1,0,0,0,0,0.01,10000,50
0.33071667,0.32806668,0.34121665,1,1.01,999999,2,0,0,0,0,0.1,10000,50
0.32833335,0.33443335,0.33723333,1,1.01,999999,2,0,0,0,0,0.01,10000,50
0.33706668,0.32731667,0.33561668,1,1.01,999999,3,0,0,0,0,0.1,10000,50
0.33688334,0.33198333,0.33113334,1,1.01,999999,3,0,0,0,0,0.01,10000,50
0.33723333,0.33018333,0.33258334,1,1.01,999999,4,0,0,0,0,0.1,10000,50
0.34066668,0.32936665,0.32996666,1,1.01,999999,4,0,0,0,0,0.01,10000,50
0.32753333,0.32258335,0.34988335,1,1.01,999999,5,0,0,0,0,0.1,10000,50
0.329,0.3304,0.3406,1,1.01,999999,5,0,0,0,0,0.01,10000,50
0.33251667,0.32601666,0.34146667,1,1.01,999999,6,0,0,0,0,0.1,10000,50
0.33686668,0.32671666,0.33641666,1,1.01,999999,6,0,0,0,0,0.01,10000,50
0.32326666,0.32466668,0.35206667,1,1.01,999999,7,0,0,0,0,0.1,10000,50
0.3305,0.32345,0.34605,1,1.01,999999,7,0,0,0,0,0.01,10000,50
0.33428332,0.31858334,0.34713334,1,1.01,999999,8,0,0,0,0,0.1,10000,50
0.3301,0.33255,0.33735,1,1.01,999999,8,0,0,0,0,0.01,10000,50
0.32238334,0.32583332,0.35178334,1,1.01,999999,9,0,0,0,0,0.1,10000,50
0.33463332,0.32103333,0.34433332,1,1.01,999999,9,0,0,0,0,0.01,10000,50
0.32918334,0.31573334,0.35508335,1,1.01,999999,10,0,0,0,0,0.1,10000,50
0.33015,0.3289,0.34095,1,1.01,999999,10,0,0,0,0,0.01,10000,50
0.33305,0.31825,0.3487,1,1.01,999999,11,0,0,0,0,0.1,10000,50
0.33316666,0.33261666,0.33421665,1,1.01,999999,11,0,0,0,0,0.01,10000,50
0.33266667,0.31866667,0.34866667,1,1.01,999999,12,0,0,0,0,0.1,10000,50
0.3343,0.322,0.3437,1,1.01,999999,12,0,0,0,0,0.01,10000,50
0.32496667,0.32536668,0.34966666,1,1.01,999999,13,0,0,0,0,0.1,10000,50
0.33143333,0.32483333,0.34373334,1,1.01,999999,13,0,0,0,0,0.01,10000,50
0.32958335,0.32138333,0.34903333,1,1.01,999999,14,0,0,0,0,0.1,10000,50
0.32576665,0.33211666,0.34211665,1,1.01,999999,14,0,0,0,0,0.01,10000,50
0.32901666,0.32061666,0.35036665,1,1.01,999999,15,0,0,0,0,0.1,10000,50
0.32958335,0.32988334,0.34053335,1,1.01,999999,15,0,0,0,0,0.01,10000,50
0.32741666,0.32066667,0.35191667,1,1.01,999999,16,0,0,0,0,0.1,10000,50
0.3285,0.3228,0.3487,1,1.01,999999,16,0,0,0,0,0.01,10000,50
0.33563334,0.32098332,0.34338334,1,1.01,999999,17,0,0,0,0,0.1,10000,50
0.32553333,0.32863334,0.34583333,1,1.01,999999,17,0,0,0,0,0.01,10000,50
0.33335,0.31415,0.3525,1,1.01,999999,18,0,0,0,0,0.1,10000,50
0.33295,0.331,0.33605,1,1.01,999999,18,0,0,0,0,0.01,10000,50
0.33115,0.3206,0.34825,1,1.01,999999,19,0,0,0,0,0.1,10000,50
0.33208334,0.32163334,0.34628335,1,1.01,999999,19,0,0,0,0,0.01,10000,50
